ISO3Code,Age,Pop2020,Sex
THA,20,4807904,Both
TGO,20,743733,Both
TON,20,9698,Both
TTO,20,85696,Both
ARE,20,715753,Both
TUN,20,821287,Both
TUR,20,6770019,Both
TKM,20,461537,Both
UGA,20,4328181,Both
UKR,20,2146047,Both
MKD,20,130294,Both
EGY,20,8416595,Both
GBR,20,4074640,Both
TZA,20,5262555,Both
USA,20,22258745,Both
BFA,20,1919894,Both
URY,20,254065,Both
UZB,20,2782336,Both
VEN,20,2101628,Both
WSM,20,16572,Both
YEM,20,2925246,Both
ZMB,20,1746939,Both
AFG,25,3109386,Both
ALB,25,244323,Both
DZA,25,3573878,Both
AGO,25,2423471,Both
ATG,25,7315,Both
AZE,25,889858,Both
ARG,25,3520249,Both
AUS,25,1780886,Both
AUT,25,606616,Both
BHS,25,33072,Both
BHR,25,214986,Both
BGD,25,14525807,Both
ARM,25,232427,Both
BRB,25,18809,Both
BEL,25,728383,Both
BTN,25,79006,Both
BOL,25,974345,Both
BIH,25,187104,Both
BWA,25,198769,Both
BRA,25,16952594,Both
BLZ,25,36478,Both
SLB,25,50835,Both
BRN,25,34496,Both
BGR,25,390450,Both
MMR,25,4404070,Both
BDI,25,986811,Both
BLR,25,652330,Both
KHM,25,1589299,Both
CMR,25,2131789,Both
CAN,25,2733147,Both
CPV,25,51886,Both
CAF,25,357219,Both
LKA,25,1406206,Both
TCD,25,1245516,Both
CHL,25,1592629,Both
CHN,25,97989003,Both
COL,25,4425595,Both
COM,25,71265,Both
COG,25,397994,Both
COD,25,6439523,Both
CRI,25,424225,Both
HRV,25,236069,Both
CUB,25,719751,Both
CYP,25,98340,Both
CZE,25,633942,Both
BEN,25,945932,Both
DNK,25,402016,Both
DOM,25,914754,Both
ECU,25,1469654,Both
SLV,25,582730,Both
GNQ,25,148193,Both
ETH,25,9692189,Both
ERI,25,286989,Both
EST,25,87546,Both
FJI,25,70062,Both
FIN,25,359100,Both
FRA,25,3674010,Both
DJI,25,87120,Both
GAB,25,188006,Both
GEO,25,267285,Both
GMB,25,200996,Both
PSE,25,467083,Both
DEU,25,4823925,Both
GHA,25,2538255,Both
KIR,25,9627,Both
GRC,25,527800,Both
GRD,25,9590,Both
GTM,25,1610664,Both
GIN,25,1060714,Both
GUY,25,67911,Both
HTI,25,979259,Both
HND,25,890687,Both
HUN,25,633747,Both
ISL,25,25559,Both
IND,25,117397269,Both
IDN,25,20918156,Both
IRN,25,6786679,Both
IRQ,25,3365719,Both
IRL,25,277653,Both
ISR,25,573002,Both
ITA,25,3160930,Both
CIV,25,2122513,Both
JAM,25,254326,Both
JPN,25,6150448,Both
KAZ,25,1473146,Both
JOR,25,862385,Both
KEN,25,4357681,Both
PRK,25,1984843,Both
KOR,25,3500050,Both
KWT,25,237788,Both
KGZ,25,568551,Both
LAO,25,670626,Both
LBN,25,583402,Both
LSO,25,191269,Both
LVA,25,118692,Both
LBR,25,377781,Both
LBY,25,553235,Both
LTU,25,183233,Both
LUX,25,45698,Both
MDG,25,2222992,Both
MWI,25,1538801,Both
MYS,25,2907311,Both
MDV,25,88631,Both
MLI,25,1427845,Both
MLT,25,30162,Both
MRT,25,371775,Both
MUS,25,102698,Both
MEX,25,10795774,Both
MNG,25,271517,Both
MDA,25,329715,Both
MNE,25,42928,Both
MAR,25,3008934,Both
MOZ,25,2381938,Both
OMN,25,756486,Both
NAM,25,228398,Both
NPL,25,2664850,Both
NLD,25,1076733,Both
VUT,25,24859,Both
NZL,25,346758,Both
NIC,25,581290,Both
NER,25,1630495,Both
NGA,25,15108845,Both
NOR,25,373114,Both
FSM,25,10700,Both
PAK,25,19158088,Both
PAN,25,329192,Both
PNG,25,717375,Both
PRY,25,643255,Both
PER,25,2767692,Both
PHL,25,9479780,Both
POL,25,2465575,Both
PRT,25,533864,Both
GNB,25,161393,Both
TLS,25,115123,Both
QAT,25,479928,Both
ROU,25,1076387,Both
RUS,25,8993089,Both
RWA,25,1027482,Both
LCA,25,16946,Both
VCT,25,8212,Both
STP,25,14948,Both
SAU,25,3021629,Both
SEN,25,1304492,Both
SRB,25,573297,Both
SYC,25,7068,Both
SLE,25,651493,Both
SGP,25,435521,Both
SVK,25,365080,Both
VNM,25,8569293,Both
SVN,25,109178,Both
SOM,25,1159601,Both
ZAF,25,5217398,Both
ZWE,25,1105162,Both
ESP,25,2361690,Both
SSD,25,900787,Both
SDN,25,3467770,Both
SUR,25,47036,Both
SWZ,25,100070,Both
SWE,25,733144,Both
CHE,25,555543,Both
