Measure,Age,Value,Sex,Country
Cases,70,583227,Both,Cyprus
Cases,75,428594,Both,Cyprus
Cases,80,350497,Both,Cyprus
Cases,85,263302,Both,Cyprus
Cases,90,217188,Both,Cyprus
Deaths,0,894,Both,Cyprus
Deaths,5,311,Both,Cyprus
Deaths,10,428,Both,Cyprus
Deaths,15,767,Both,Cyprus
Deaths,20,1993,Both,Cyprus
Deaths,25,3347,Both,Cyprus
Deaths,30,5881,Both,Cyprus
Deaths,35,9267,Both,Cyprus
Deaths,40,14842,Both,Cyprus
Deaths,45,24111,Both,Cyprus
Deaths,50,34251,Both,Cyprus
Deaths,55,46765,Both,Cyprus
Deaths,60,57322,Both,Cyprus
Deaths,65,64455,Both,Cyprus
Deaths,70,66925,Both,Cyprus
Deaths,75,64368,Both,Cyprus
Deaths,80,63890,Both,Cyprus
Deaths,85,56288,Both,Cyprus
Deaths,90,63669,Both,Cyprus
Cases,0,304978,Both,Czechia
Cases,5,392894,Both,Czechia
Cases,10,568184,Both,Czechia
Cases,15,902741,Both,Czechia
Cases,20,1611978,Both,Czechia
Cases,25,2103937,Both,Czechia
Cases,30,2104966,Both,Czechia
Cases,35,1970078,Both,Czechia
Cases,40,1834677,Both,Czechia
Cases,45,1744550,Both,Czechia
Cases,50,1601880,Both,Czechia
Cases,55,1397704,Both,Czechia
Cases,60,1056240,Both,Czechia
Cases,65,786408,Both,Czechia
Cases,70,583227,Both,Czechia
Cases,75,428594,Both,Czechia
Cases,80,350497,Both,Czechia
Cases,85,263302,Both,Czechia
Cases,90,217188,Both,Czechia
Deaths,0,894,Both,Czechia
Deaths,5,311,Both,Czechia
Deaths,10,428,Both,Czechia
Deaths,15,767,Both,Czechia
Deaths,20,1993,Both,Czechia
Deaths,25,3347,Both,Czechia
Deaths,30,5881,Both,Czechia
Deaths,35,9267,Both,Czechia
Deaths,40,14842,Both,Czechia
Deaths,45,24111,Both,Czechia
Deaths,50,34251,Both,Czechia
Deaths,55,46765,Both,Czechia
Deaths,60,57322,Both,Czechia
Deaths,65,64455,Both,Czechia
Deaths,70,66925,Both,Czechia
Deaths,75,64368,Both,Czechia
Deaths,80,63890,Both,Czechia
Deaths,85,56288,Both,Czechia
Deaths,90,63669,Both,Czechia
Cases,0,304978,Both,Denmark
Cases,5,392894,Both,Denmark
Cases,10,568184,Both,Denmark
Cases,15,902741,Both,Denmark
Cases,20,1611978,Both,Denmark
Cases,25,2103937,Both,Denmark
Cases,30,2104966,Both,Denmark
Cases,35,1970078,Both,Denmark
Cases,40,1834677,Both,Denmark
Cases,45,1744550,Both,Denmark
Cases,50,1601880,Both,Denmark
Cases,55,1397704,Both,Denmark
Cases,60,1056240,Both,Denmark
Cases,65,786408,Both,Denmark
Cases,70,583227,Both,Denmark
Cases,75,428594,Both,Denmark
Cases,80,350497,Both,Denmark
Cases,85,263302,Both,Denmark
Cases,90,217188,Both,Denmark
Deaths,0,894,Both,Denmark
Deaths,5,311,Both,Denmark
Deaths,10,428,Both,Denmark
Deaths,15,767,Both,Denmark
Deaths,20,1993,Both,Denmark
Deaths,25,3347,Both,Denmark
Deaths,30,5881,Both,Denmark
Deaths,35,9267,Both,Denmark
Deaths,40,14842,Both,Denmark
Deaths,45,24111,Both,Denmark
Deaths,50,34251,Both,Denmark
Deaths,55,46765,Both,Denmark
Deaths,60,57322,Both,Denmark
Deaths,65,64455,Both,Denmark
Deaths,70,66925,Both,Denmark
Deaths,75,64368,Both,Denmark
Deaths,80,63890,Both,Denmark
Deaths,85,56288,Both,Denmark
Deaths,90,63669,Both,Denmark
Cases,0,304978,Both,Dominican Republic
Cases,5,392894,Both,Dominican Republic
Cases,10,568184,Both,Dominican Republic
Cases,15,902741,Both,Dominican Republic
Cases,20,1611978,Both,Dominican Republic
Cases,25,2103937,Both,Dominican Republic
Cases,30,2104966,Both,Dominican Republic
Cases,35,1970078,Both,Dominican Republic
Cases,40,1834677,Both,Dominican Republic
Cases,45,1744550,Both,Dominican Republic
